task,model,input_tokens,output_tokens
creation/task1,vscode_gpt41,100,1051
creation/task2,vscode_gpt41,175,470
creation/task3,vscode_gpt41,113,841
creation/task4,vscode_gpt41,98,1432
creation/task5,vscode_gpt41,195,721
refactoring/task1,vscode_gpt41,67,14569
refactoring/task2,vscode_gpt41,163,12417
debugging/task1,vscode_gpt41,99,2311
debugging/task2,vscode_gpt41,117,1032
debugging/task3,vscode_gpt41,226,372
creation/task1,vscode_claude37,118,6828
creation/task2,vscode_claude37,185,6176
creation/task3,vscode_claude37,111,1869
creation/task4,vscode_claude37,102,8770
creation/task5,vscode_claude37,196,98
refactoring/task1,vscode_claude37,59,7741
refactoring/task2,vscode_claude37,164,7558
debugging/task1,vscode_claude37,101,10664
debugging/task2,vscode_claude37,110,964
debugging/task3,vscode_claude37,236,714
